"","Pseudomonas","Haemophilus","Streptococcus","Veillonella","Neisseria","Staphylococcus","Rothia","Granulicatella","Stenotrophomonas","Gemella","Prevotella","Moraxella","Leptotrichia","Candida","Saccharomyces","Curvularia","Cryptococcus","Debaryomyces","PIV3","RV","Flu_A","Flu_B","MPV"
"Pseudomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella",0,0,0,0,0,0,0,0,0,0,2.76699781095974,0,0,0,0,0,0,0,0,0.0217247061887453,0,0,0
"Neisseria",0,0,0.0190371714810963,0,0,0,0,0,0.801615656180084,0,0,0,1.87194718213707,0,0,0,0,3.46212116829122,0,0,0,0,0
"Staphylococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rothia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Granulicatella",0,-0.0170898591859788,0,0,0,0,0,0,0,0,2.06899688393497,0,1.86914471718864,0,0,0.0168425745969302,0,0,0,0,0,0,0
"Stenotrophomonas",0,0,0,-0.0219422478039935,1.08402245654043,0,0,0,0,0,0,0,-2.22947912769447,0,0,0,0,-4.05805398488442,0,0,0,0,0
"Gemella",0,0,0.0196264178306449,0,0,0,0,0,0,0,0,0.234782602616097,0,0,0,0,0,0,0.0269577673174345,0,0,0,0
"Prevotella",0,0,0,0.0475907048632846,0,0,0,0.0787812682845358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moraxella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptotrichia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saccharomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Curvularia",0,0,0,0,0,0,0,0.356982982558727,0,0,0,0,0,0,0,0,4.96544182337977,0,0,0,0,0,0
"Cryptococcus",0,0,-0.00052472511762607,0,0,0.00599534324744449,0,0,0,0,0,0.0211456465301452,0,0.00143577843572958,0,0.022601635417543,0,0,0,0,0,0,0
"Debaryomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIV3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flu_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flu_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
